Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
10/04/2007,20071004,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/05/2007,20071005,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/06/2007,20071006,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/07/2007,20071007,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/08/2007,20071008,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/09/2007,20071009,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/10/2007,20071010,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/11/2007,20071011,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/12/2007,20071012,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/13/2007,20071013,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/14/2007,20071014,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/15/2007,20071015,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/16/2007,20071016,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/17/2007,20071017,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/18/2007,20071018,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/19/2007,20071019,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/20/2007,20071020,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/21/2007,20071021,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/22/2007,20071022,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/23/2007,20071023,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/24/2007,20071024,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/25/2007,20071025,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/26/2007,20071026,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/27/2007,20071027,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/28/2007,20071028,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WeekEnd,0,None,Holiday,None,None
10/29/2007,20071029,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/30/2007,20071030,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
10/31/2007,20071031,2007,CY 2007,20074,Q4-2007,200710,October 2007,10,October,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,4,October,WorkDay,0,None,Holiday,None,None
11/01/2007,20071101,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/02/2007,20071102,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/03/2007,20071103,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/04/2007,20071104,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/05/2007,20071105,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/06/2007,20071106,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/07/2007,20071107,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/08/2007,20071108,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/09/2007,20071109,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/10/2007,20071110,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/11/2007,20071111,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/12/2007,20071112,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/13/2007,20071113,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/14/2007,20071114,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/15/2007,20071115,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/16/2007,20071116,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/17/2007,20071117,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/18/2007,20071118,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/19/2007,20071119,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/20/2007,20071120,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/21/2007,20071121,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/22/2007,20071122,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/23/2007,20071123,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/24/2007,20071124,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/25/2007,20071125,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WeekEnd,0,None,Holiday,Holiday,Holiday
11/26/2007,20071126,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/27/2007,20071127,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/28/2007,20071128,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/29/2007,20071129,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
11/30/2007,20071130,2007,CY 2007,20074,Q4-2007,200711,November 2007,11,November,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,5,November,WorkDay,0,None,Holiday,Holiday,Holiday
12/01/2007,20071201,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/02/2007,20071202,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/03/2007,20071203,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/04/2007,20071204,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/05/2007,20071205,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/06/2007,20071206,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/07/2007,20071207,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/08/2007,20071208,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/09/2007,20071209,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/10/2007,20071210,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/11/2007,20071211,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/12/2007,20071212,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/13/2007,20071213,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/14/2007,20071214,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/15/2007,20071215,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/16/2007,20071216,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/17/2007,20071217,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/18/2007,20071218,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/19/2007,20071219,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/20/2007,20071220,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/21/2007,20071221,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/22/2007,20071222,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/23/2007,20071223,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/24/2007,20071224,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/25/2007,20071225,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,3,Tuesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/26/2007,20071226,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,4,Wednesday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/27/2007,20071227,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,5,Thursday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/28/2007,20071228,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,6,Friday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
12/29/2007,20071229,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,7,Saturday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/30/2007,20071230,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,1,Sunday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WeekEnd,0,None,Holiday,Holiday,Holiday
12/31/2007,20071231,2007,CY 2007,20074,Q4-2007,200712,December 2007,12,December,2,Monday,2008,FY 2008,2,Q2,20082,Q2-2008,6,December,WorkDay,0,None,Holiday,Holiday,Holiday
01/01/2008,20080101,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,3,Tuesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/02/2008,20080102,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,4,Wednesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/03/2008,20080103,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,5,Thursday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/04/2008,20080104,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,6,Friday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/05/2008,20080105,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,7,Saturday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/06/2008,20080106,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,1,Sunday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/07/2008,20080107,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,2,Monday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/08/2008,20080108,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,3,Tuesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/09/2008,20080109,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,4,Wednesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/10/2008,20080110,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,5,Thursday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/11/2008,20080111,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,6,Friday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/12/2008,20080112,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,7,Saturday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/13/2008,20080113,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,1,Sunday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/14/2008,20080114,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,2,Monday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/15/2008,20080115,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,3,Tuesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/16/2008,20080116,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,4,Wednesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/17/2008,20080117,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,5,Thursday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/18/2008,20080118,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,6,Friday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/19/2008,20080119,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,7,Saturday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/20/2008,20080120,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,1,Sunday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/21/2008,20080121,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,2,Monday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/22/2008,20080122,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,3,Tuesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/23/2008,20080123,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,4,Wednesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/24/2008,20080124,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,5,Thursday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/25/2008,20080125,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,6,Friday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/26/2008,20080126,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,7,Saturday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/27/2008,20080127,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,1,Sunday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/28/2008,20080128,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,2,Monday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/29/2008,20080129,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,3,Tuesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/30/2008,20080130,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,4,Wednesday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/31/2008,20080131,2008,CY 2008,20081,Q1-2008,200801,January 2008,1,January,5,Thursday,2008,FY 2008,3,Q3,20083,Q3-2008,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
02/01/2008,20080201,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,6,Friday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/02/2008,20080202,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,7,Saturday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/03/2008,20080203,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,1,Sunday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/04/2008,20080204,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,2,Monday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/05/2008,20080205,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,3,Tuesday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/06/2008,20080206,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,4,Wednesday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/07/2008,20080207,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,5,Thursday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/08/2008,20080208,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,6,Friday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/09/2008,20080209,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,7,Saturday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/10/2008,20080210,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,1,Sunday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/11/2008,20080211,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,2,Monday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/12/2008,20080212,2008,CY 2008,20081,Q1-2008,200802,February 2008,2,February,3,Tuesday,2008,FY 2008,3,Q3,20083,Q3-2008,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
